Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
CNTNAP4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3926.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.090882661,0.0,0.0,0.5,0.5,0.319081047,0.785545954,0.928515318,0.959547073,13.49205596,975.0,-0.02622294,8.11e-07,6.0,-0.6024999,0.8265216,4.9850002,0.47922055,-6.19,0.75153797,0.578606396,0.059092497,0.0
COG4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2370.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.555864369,1.0,0.013504207,0.071636494,19.82058225,131.0,0.04679719,1.79e-05,20.0,23.394999,10.419612,23.394999,10.419612,-6.6034935,1.15572745,0.028986455,0.059092497,0.0
CPNE2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1647.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.237312944,0.759,0.0,1.0,1.0,1.0,1.0,0.545553737,0.876134189,19.50766323,154.0,0.04848292,0.000318629,23.0,1.26,0.017672,1.26,0.017672,-6.6034935,1.15572745,0.131322179,0.059092497,0.0
CREBBP,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,7329.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.2,1.0,0.286881307,0.9234,0.0,4.0,5.0,0.0,3e-05,0.06359,2.7e-05,19.28294927,242.0,0.03916608,0.003370096,305.0,3.75,2.5587121,10.794,4.4332433,-3.294,0.083410303,0.635979693,0.056701168,0.0
CTCF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2184.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.246885834,0.737,0.0,1.0,1.0,0.0,0.045716376,0.468409984,0.10372324,20.03473181,147.0,0.04472247,3.47e-05,39.0,0.925,0.0102245,0.925,0.0102245,-6.6034935,1.15572745,0.038208964,0.059092497,0.0
CX3CL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1194.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.357852181,0.674,0.0,1.0,1.0,1.0,1.0,0.05122426,0.203439301,19.51481382,159.0,0.03859974,0.0,3.0,-1.505,0.095484493,0.68,2.5973119,-3.69,1.15572745,0.285437016,0.059092497,0.0
DCTPP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,513.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.111172592,0.1,0.0,1.0,1.0,1.0,1.0,0.077924102,0.276787967,21.15720937,142.0,0.05885665,4.85e-05,23.0,-3.165,0.2429045,0.32,2.5973119,-6.65,1.15572745,0.578606396,0.059092497,0.0
DHX38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3684.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.246885834,0.109,0.0,1.0,1.0,0.962463908,1.0,0.604229607,0.908641093,18.66083506,479.0,0.009373628,7.39e-05,42.0,-1.12,0.075272,0.82,2.5973119,-3.06,1.15572745,0.249008637,0.059092497,0.0
DNAH3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12351.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.310565047,0.889,0.0,1.0,1.0,0.355618777,1.0,0.758725341,0.96822112,18.35515836,549.0,0.02900664,0.0,1.0,-0.245,0.0009245,5.5857964,2.5973119,-0.245,0.0009245,0.469218398,0.059092497,0.0
DOC2A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1203.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.310565047,0.917,0.0,1.0,1.0,1.0,1.0,0.854700855,0.988892093,19.10586824,502.343055,0.014617034,1.84e-05,8.0,2.23,0.094178,2.23,0.094178,-6.6034935,1.15572745,0.094808108,0.059092497,0.0
