gene_id,gene,pvalue
8175.0,BAG5,0.9998147
11345.0,RYK,0.99981457
6998.0,CYTH3,0.9998136
1558.0,CAPN1,0.9998135
547.0,HSF1,0.9998135
2994.0,HNRNPU,0.99981326
1923.0,NFYA,0.99981254
5239.0,ELL,0.99981195
4469.0,EXOSC8,0.99981123
5806.0,BRPF3,0.99981123
1106.0,DDB1,0.99981064
4033.0,NMT2,0.99980944
8420.0,ELL3,0.9998091
7335.0,MED17,0.99980897
468.0,RBPJ,0.9998087
2624.0,ERCC3,0.999808
4601.0,ZHX1,0.9998078
7547.0,KCTD17,0.99980754
1999.0,RPL4,0.9998068
2336.0,CEP55,0.9998067
1663.0,HRAS,0.9998066
1417.0,PPP1R12A,0.9998061
6247.0,RPRD1A,0.9998049
1492.0,SKI,0.99980456
3851.0,ACTA2,0.9998041
1479.0,ETS1,0.99980396
2371.0,MYH9,0.99980396
2186.0,SF3B1,0.9998035
111.0,NDRG1,0.9998035
6039.0,UIMC1,0.9998031
155.0,EHMT2,0.9998029
8464.0,CSNK1G3,0.9998017
2574.0,KLF4,0.9998017
3735.0,NME4,0.9998
4496.0,PIWIL1,0.9997987
854.0,TRIM27,0.9997986
1579.0,CFLAR,0.9997981
1531.0,IRS2,0.99979776
3164.0,RPS6KA3,0.9997975
1900.0,NFYB,0.9997962
10791.0,SUPT3H,0.99979585
725.0,CSF2RB,0.9997954
4874.0,CRTC2,0.99979526
6679.0,CXXC1,0.99979323
2009.0,PSMC3,0.9997931
134.0,DDB2,0.9997925
1172.0,PDHA1,0.99979216
6106.0,RFC3,0.99979156
1930.0,ING2,0.99979097
847.0,NEDD4L,0.9997905
5971.0,SYVN1,0.9997899
186.0,TFDP1,0.99978954
4027.0,NMT1,0.99978846
557.0,CEBPB,0.9997874
2438.0,TLE3,0.99978656
84.0,CDK8,0.9997861
3393.0,SERPINB9,0.9997832
3720.0,RBM10,0.9997819
4154.0,TADA3,0.99978155
3990.0,CCT6A,0.9997814
1233.0,YY1,0.99978095
2078.0,SIVA1,0.9997807
7389.0,JMY,0.99977916
3836.0,MNAT1,0.99977905
2224.0,UBE4B,0.999778
1599.0,CCNH,0.9997764
10369.0,RFC1,0.99977607
1823.0,MTA2,0.9997751
3607.0,GTF3C4,0.9997744
2034.0,DCAF7,0.99977344
8902.0,RDH13,0.99977297
1252.0,EFNB2,0.99977
1383.0,FOXO3,0.9997696
12526.0,FOXQ1,0.9997694
3277.0,AATF,0.9997688
1093.0,SEC13,0.9997677
7829.0,OGA,0.999767
8599.0,MDN1,0.9997656
2968.0,DUSP26,0.9997656
852.0,RNF40,0.99976546
5397.0,PPIF,0.9997639
8692.0,MYPN,0.99976367
9723.0,FOXA3,0.9997632
2402.0,PKM,0.9997627
4892.0,LRRK2,0.9997626
6350.0,CARM1,0.99976116
3402.0,SYNCRIP,0.99976
9903.0,CORO1C,0.9997595
10387.0,BRF1,0.99975663
2669.0,RBCK1,0.99975663
10871.0,CDH9,0.9997565
5607.0,ASH2L,0.9997532
6155.0,HSPA1L,0.999752
4572.0,PDCD5,0.99975103
776.0,CLTC,0.9997491
1305.0,TBP,0.9997489
3893.0,TAF9B,0.99974805
147.0,NOC2L,0.99974793
10580.0,ING1,0.99974793
6713.0,COX17,0.9997476
11639.0,DHRS4,0.99974567
10294.0,LSM14A,0.99974555
220.0,UBE2B,0.9997452
7099.0,SBDS,0.99974364
2850.0,SMARCD2,0.999742
2144.0,MAPK11,0.99974173
1568.0,HDAC9,0.99974066
6968.0,USP39,0.999739
6179.0,GSTM4,0.9997389
80.0,YAP1,0.9997383
851.0,RNF20,0.9997373
470.0,NOTCH1,0.99973696
1484.0,MAPK14,0.99973685
684.0,MIF,0.9997353
5911.0,MPHOSPH6,0.9997342
10254.0,TWNK,0.9997341
7664.0,HELLS,0.99973077
8412.0,ANKRD2,0.9997303
2344.0,RPS17,0.99973005
10722.0,TOP1MT,0.99972624
8355.0,LAMP2,0.99972516
2714.0,CCT5,0.999724
4103.0,MAD2L1BP,0.99972385
9887.0,USP49,0.99972063
11476.0,CHRNA10,0.99972004
2206.0,TRIM23,0.9997197
2591.0,EIF4E2,0.9997191
8913.0,CLTB,0.99971884
8264.0,NUB1,0.9997185
5596.0,APBB2,0.99971837
4022.0,TP53RK,0.9997141
382.0,ITCH,0.99971396
5559.0,FTL,0.9997129
10246.0,NQO1,0.9997129
7166.0,TSPYL4,0.9997129
42.0,UBE2V2,0.9997111
553.0,ETS2,0.9997104
2564.0,RCC1,0.99971026
3793.0,RPL18A,0.99970883
9002.0,MOG,0.99970883
102.0,TRIAP1,0.9997056
7622.0,UMPS,0.9997044
1539.0,LGALS3,0.9997029
908.0,XPC,0.9996991
131.0,PMS2,0.999699
2799.0,UCHL1,0.99969864
4741.0,RP1,0.9996985
1477.0,E2F1,0.99969673
1272.0,PARK7,0.9996948
3242.0,GNL3,0.9996947
2880.0,USO1,0.9996946
6394.0,NOL3,0.9996939
1554.0,CCND2,0.9996927
3338.0,ARHGEF1,0.9996915
657.0,AKT1,0.9996886
3896.0,FOXK1,0.9996884
7223.0,TRIM8,0.999688
2513.0,RPL13,0.9996841
8754.0,SARS2,0.9996811
983.0,GSK3B,0.9996793
12334.0,CHST8,0.9996791
4063.0,RPL5,0.99967647
305.0,CAND1,0.99967635
11508.0,TADA1,0.9996753
1582.0,PELP1,0.99967515
9598.0,GYPB,0.999673
2362.0,SART1,0.9996705
119.0,GADD45A,0.9996704
5425.0,SCYL2,0.9996666
1789.0,GSN,0.9996661
4988.0,GLIS2,0.9996636
259.0,BAK1,0.9996619
1399.0,IRS1,0.9996599
17.0,GAB1,0.99965644
262.0,CASP3,0.9996544
2433.0,IRF2BP2,0.999652
2754.0,BRD3,0.99965096
1370.0,GNAQ,0.99964726
1526.0,DLG1,0.9996457
5026.0,ING5,0.9996455
7039.0,TMED9,0.9996444
1877.0,PPIB,0.9996438
4942.0,ZNF24,0.9996413
2584.0,PHF1,0.99964106
7663.0,FOXN1,0.99964
1178.0,PPP2CA,0.9996362
690.0,PLCG1,0.99963593
3611.0,HNRNPH1,0.9996356
4089.0,COPS7A,0.9996326
10414.0,KIAA1109,0.999629
4768.0,CDC14B,0.9996283
1549.0,RYBP,0.9996251
848.0,STUB1,0.999624
1192.0,PIAS1,0.99962246
4225.0,NABP2,0.99962056
3145.0,TIMM50,0.9996196
1600.0,CDK7,0.9996183
126.0,RGCC,0.999617
10588.0,GP5,0.99961567
2295.0,BECN1,0.99961406
26.0,GNB1,0.99961156
1983.0,PSMD6,0.9996101
5385.0,NEB,0.99961
8009.0,FOXJ3,0.9996081
3093.0,E4F1,0.999608
7522.0,IGF2BP3,0.99960643
809.0,PDGFRB,0.99960643
781.0,ITGB7,0.9996043
822.0,MAVS,0.99960417
3927.0,MYL6B,0.99960417
4095.0,PES1,0.9996037
81.0,TEAD2,0.99959797
5471.0,HIPK3,0.99959594
1147.0,GRIN2B,0.99959475
3786.0,RPS26,0.9995944
777.0,CLTA,0.99959344
1459.0,TOP3A,0.99959284
3996.0,RCN2,0.9995858
3201.0,EBNA1BP2,0.9995827
3621.0,HABP4,0.99958223
341.0,ANXA2,0.99958163
4476.0,SAT1,0.9995803
5569.0,THRSP,0.9995802
3383.0,MOV10,0.9995801
9221.0,SIPA1L1,0.9995759
6917.0,DLST,0.9995732
3110.0,CSNK1D,0.99957246
2101.0,YBX3,0.9995714
2809.0,RAP1B,0.9995685
6883.0,THAP12,0.9995679
3973.0,DNAJB1,0.99956733
350.0,TXN,0.99956614
9965.0,MRPL39,0.999566
9381.0,MRPL41,0.9995654
10142.0,MRPS5,0.9995653
2909.0,FBXL15,0.99956185
6390.0,MYBPC3,0.9995604
6777.0,CNOT3,0.9995577
1673.0,HNRNPK,0.99955577
2856.0,RAD23A,0.9995542
3798.0,NAT10,0.9995523
3332.0,SRSF6,0.99955124
3582.0,RAB7A,0.99954814
5117.0,SUN2,0.9995479
4958.0,VRK2,0.99954766
11954.0,NPAS3,0.9995474
9457.0,ZC3H18,0.9995467
2407.0,EIF3E,0.99954623
10593.0,FOXS1,0.9995433
8712.0,RYR3,0.99953854
1371.0,CYTH2,0.99953806
569.0,GTSE1,0.9995353
5149.0,SENP3,0.9995338
2306.0,TMSB4X,0.99953103
7926.0,DNAJC7,0.9995265
2182.0,S100A7,0.999526
76.0,CCNB1,0.9995233
117.0,E2F7,0.99952257
9750.0,MZT2B,0.9995198
3505.0,PADI4,0.99951816
8452.0,PTGS2,0.99951553
4168.0,S100A13,0.9995148
2100.0,COPS2,0.9995078
5888.0,PF4V1,0.9995074
6397.0,PSMD5,0.99950624
5804.0,PEX26,0.9995043
115.0,ZNF385A,0.99949944
5610.0,CAPN3,0.99949944
1532.0,JDP2,0.9994974
11012.0,MUC4,0.9994972
9245.0,RFFL,0.9994942
3415.0,RPL10A,0.9994941
10213.0,CEP120,0.99949074
5281.0,TRIM69,0.9994875
1716.0,ROCK1,0.9994874
8702.0,TMUB1,0.9994862
6104.0,RBM3,0.9994842
6844.0,MRAS,0.99948055
88.0,PTEN,0.99947625
9134.0,IDH3B,0.9994708
10404.0,ZC3H7A,0.9994655
2332.0,RYR1,0.9994653
655.0,KHDRBS1,0.99946374
6075.0,MYOM1,0.99945897
2843.0,TTC3,0.9994572
1125.0,TRMT10C,0.99945706
1718.0,RPS6KB1,0.99945706
185.0,SMAD3,0.99945635
846.0,SMURF1,0.9994554
1472.0,TICAM1,0.9994522
222.0,WDR48,0.99945074
10262.0,GPX2,0.9994498
8129.0,ESS2,0.9994406
5290.0,PTPRO,0.99943894
2204.0,TCP1,0.9994381
11941.0,TRIM71,0.99942386
2444.0,DYRK2,0.9994197
1591.0,YWHAH,0.999418
2026.0,TRIM32,0.99941504
5914.0,CXCL2,0.99940693
2072.0,CHD4,0.9994056
5753.0,LATS2,0.9994042
2354.0,PRKAA1,0.99940336
3030.0,APEX1,0.9994023
