Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
EXTL3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2760.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.383141762,1.0,0.682593857,0.943245899,18.62113003,327.0,0.04184984,0.000119215,11.0,7.805,1.2912245,15.84,3.2186646,-0.23,3.512319,0.041941964,0.031927407,0.0
HTRA4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1431.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.642817546,0.161,0.0,1.0,1.0,0.746268657,1.0,0.515198351,0.8568796,18.68556188,428.0,0.04173276,0.0,0.0,6.23,1.123776,9.3499996,1.663488,-0.01,3.512319,1.635534957,0.031927407,0.0
KCNQ3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2619.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.257318631,0.854,0.0,1.0,1.0,0.09569378,1.0,0.428632662,0.791750961,17.31636993,970.0,-0.005573538,7.84e-08,2.0,4.176667,0.6065844,6.605,0.8593606,-0.68,3.512319,0.105992348,0.031927407,0.0
LRRC6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1401.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.381402307,0.632,0.0,1.0,1.0,0.562113547,1.0,0.58719906,0.899818791,17.5233552,902.0,-0.003989166,7.7e-09,2.0,-3.5366666,0.41463333,0.18,0.00045,-10.97,3.512319,0.086072656,0.031927407,0.0
MROH5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3957.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.231029063,0.048,0.0,1.0,1.0,0.858369099,1.0,0.654022237,0.931729187,17.22556332,382.0,0.03772761,0.0,1.0,9.45,1.6707921,9.45,1.6707921,-8.8916674,3.512319,0.482861738,0.031927407,0.0
PDGFRL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1128.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.186396921,0.5,0.0,1.0,1.0,0.400320256,1.0,0.16636167,0.464746485,18.81922173,220.0,0.003950069,0.0,0.0,-2.9866666,0.3010583,0.18,0.00045,-9.32,3.512319,0.06114578,0.031927407,0.0
PDP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1689.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.406613291,0.135,0.0,1.0,1.0,0.469263257,1.0,0.031971354,0.142046006,18.28527081,423.0,0.004813338,6.18e-07,5.0,3.8399998,0.28275198,3.8399998,0.28275198,-8.8916674,3.512319,0.482861738,0.031927407,0.0
PHF20L1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3054.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.274859119,0.934,0.0,1.0,2.0,0.380952381,1.0,0.390015601,0.75724202,17.57564412,773.0,-0.003807098,0.000172456,25.0,0.16250005,0.12254826,1.61,0.058107,-4.18,3.512319,0.027924486,8.45e-05,0.0
PI15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,777.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.992750411,0.276,0.0,1.0,1.0,0.265041081,0.00648,0.73136,0.030102931,17.18858112,824.0,-0.01266515,0.0,0.0,1.84,0.091429,2.875,0.1185845,-0.23,3.512319,1.634567561,0.031927407,0.0
PKHD1L1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12732.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.659692864,0.6155,0.0,2.0,2.0,0.883392226,1.0,0.446827525,0.806784008,17.03878399,732.0,0.006386445,0.0,0.0,7.712,1.2806818,7.712,1.2806818,-8.8916674,3.512319,0.482861738,0.031927407,0.0
PLEC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14055.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.70323488,1.0,0.265463233,0.617541526,21.24117261,247.0,0.02525625,0.000117705,66.0,19.343333,11.3005586,29.085,16.907114,-0.14,3.512319,0.482861738,0.031927407,0.0
PREX2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4821.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.257318631,0.948,0.0,1.0,1.0,0.698324022,0.995770677,0.469924812,0.823298733,13.8557221,990.0,0.00142781,1.22e-07,2.0,4.2866666,0.5681663,6.5,0.8424019,-0.14,3.512319,0.482861738,0.031927407,0.0
PRKDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12386.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.113019892,1.0,0.247954376,0.593729362,19.78388468,459.0,0.0268238,0.00185609,223.0,18.82,6.793298,18.82,6.793298,-8.8916674,3.512319,0.482861738,0.031927407,0.0
PXDNL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4392.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.963391137,1.0,0.665335995,0.936435869,15.94120285,1068.0,-0.01590167,1.75e-06,5.0,-16.206667,7.907792,0.64,3.2186646,-24.63,11.558432,0.482861738,0.031927407,0.0
RB1CC1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4785.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.713279989,0.096,0.0,1.0,1.0,0.059962823,1.0,0.991080278,0.9999601,16.57047716,559.0,-0.001445363,8.86e-05,45.0,0.17,0.000338,0.17,0.000338,-8.8916674,3.512319,0.097439989,0.031927407,0.0
